date,anlage,kurs
2024-01-05,MSCI,81.62799835205078
2024-01-06,MSCI,81.62799835205078
2024-01-07,MSCI,81.62799835205078
2024-01-08,MSCI,81.78800201416016
2024-01-09,MSCI,82.38999938964844
2024-01-10,MSCI,82.43599700927734
2024-01-11,MSCI,82.09600067138672
2024-01-12,MSCI,82.68399810791016
2024-01-13,MSCI,82.68399810791016
2024-01-14,MSCI,82.68399810791016
2024-01-15,MSCI,82.74400329589844
2024-01-16,MSCI,82.96199798583984
2024-01-17,MSCI,82.38600158691406
2024-01-18,MSCI,82.72000122070312
2024-01-19,MSCI,83.00399780273438
2024-01-20,MSCI,83.00399780273438
2024-01-21,MSCI,83.00399780273438
2024-01-22,MSCI,83.95999908447266
2024-01-23,MSCI,84.06800079345703
2024-01-24,MSCI,84.5199966430664
2024-01-25,MSCI,84.88600158691406
2024-01-26,MSCI,84.9540023803711
2024-01-27,MSCI,84.9540023803711
2024-01-28,MSCI,84.9540023803711
2024-01-29,MSCI,85.30999755859375
2024-01-30,MSCI,85.53600311279297
2024-01-31,MSCI,85.04399871826172
2024-02-01,MSCI,84.69000244140625
2024-02-02,MSCI,86.06199645996094
2024-02-03,MSCI,86.06199645996094
2024-02-04,MSCI,86.06199645996094
2024-02-05,MSCI,86.16200256347656
2024-02-06,MSCI,86.3740005493164
2024-02-07,MSCI,86.75
2024-02-08,MSCI,86.78600311279297
2024-02-09,MSCI,86.92400360107422
2024-02-10,MSCI,86.92400360107422
2024-02-11,MSCI,86.92400360107422
2024-02-12,MSCI,87.66000366210938
2024-02-13,MSCI,86.80400085449219
2024-02-14,MSCI,86.9260025024414
2024-02-15,MSCI,87.36000061035156
2024-02-16,MSCI,87.71199798583984
2024-02-17,MSCI,87.71199798583984
2024-02-18,MSCI,87.71199798583984
2024-02-19,MSCI,87.54199981689453
2024-02-20,MSCI,86.66200256347656
2024-02-21,MSCI,86.56400299072266
2024-02-22,MSCI,88.04399871826172
2024-02-23,MSCI,88.38999938964844
2024-02-24,MSCI,88.38999938964844
2024-02-25,MSCI,88.38999938964844
2024-02-26,MSCI,88.04000091552734
2024-02-27,MSCI,87.9260025024414
2024-02-28,MSCI,87.96600341796875
2024-02-29,MSCI,88.197998046875
2024-03-01,MSCI,88.7959976196289
2024-03-02,MSCI,88.7959976196289
2024-03-03,MSCI,88.7959976196289
2024-03-04,MSCI,88.75599670410156
2024-03-05,MSCI,88.1780014038086
2024-03-06,MSCI,88.52999877929688
2024-03-07,MSCI,88.89600372314453
2024-03-08,MSCI,88.90799713134766
2024-03-09,MSCI,88.90799713134766
2024-03-10,MSCI,88.90799713134766
2024-03-11,MSCI,88.33000183105469
2024-03-12,MSCI,89.05599975585938
2024-03-13,MSCI,89.09600067138672
2024-03-14,MSCI,89.17400360107422
2024-03-15,MSCI,88.61000061035156
2024-03-16,MSCI,88.61000061035156
2024-03-17,MSCI,88.61000061035156
2024-03-18,MSCI,89.40799713134766
2024-03-19,MSCI,89.54000091552734
2024-03-20,MSCI,89.7300033569336
2024-03-21,MSCI,91.01799774169922
2024-03-22,MSCI,90.98600006103516
2024-03-23,MSCI,90.98600006103516
2024-03-24,MSCI,90.98600006103516
2024-03-25,MSCI,90.70999908447266
2024-03-26,MSCI,90.91600036621094
2024-03-27,MSCI,90.85199737548828
2024-03-28,MSCI,91.4520034790039
2024-03-29,MSCI,91.4520034790039
2024-03-30,MSCI,91.4520034790039
2024-03-31,MSCI,91.4520034790039
2024-04-01,MSCI,91.4520034790039
2024-04-02,MSCI,90.69400024414062
2024-04-03,MSCI,90.7760009765625
2024-04-04,MSCI,90.8479995727539
2024-04-05,MSCI,90.23400115966797
2024-04-06,MSCI,90.23400115966797
2024-04-07,MSCI,90.23400115966797
2024-04-08,MSCI,90.38600158691406
2024-04-09,MSCI,89.87200164794922
2024-04-10,MSCI,90.28600311279297
2024-04-11,MSCI,90.43599700927734
2024-04-12,MSCI,90.86000061035156
2024-04-13,MSCI,90.86000061035156
2024-04-14,MSCI,90.86000061035156
2024-04-15,MSCI,90.6719970703125
2024-04-16,MSCI,89.21800231933594
2024-04-17,MSCI,88.73799896240234
2024-04-18,MSCI,88.96600341796875
2024-04-19,MSCI,88.14600372314453
2024-04-20,MSCI,88.14600372314453
2024-04-21,MSCI,88.14600372314453
2024-04-22,MSCI,88.2760009765625
2024-04-23,MSCI,89.26599884033203
2024-04-24,MSCI,89.27400207519531
2024-04-25,MSCI,88.197998046875
2024-04-26,MSCI,89.80400085449219
2024-04-27,MSCI,89.80400085449219
2024-04-28,MSCI,89.80400085449219
2024-04-29,MSCI,89.82599639892578
2024-04-30,MSCI,89.57599639892578
2024-05-01,MSCI,89.57599639892578
2024-05-02,MSCI,88.88999938964844
2024-05-03,MSCI,89.6500015258789
2024-05-04,MSCI,89.6500015258789
2024-05-05,MSCI,89.6500015258789
2024-05-06,MSCI,90.31199645996094
2024-05-07,MSCI,90.94599914550781
2024-05-08,MSCI,90.93399810791016
2024-05-09,MSCI,91.13999938964844
2024-05-10,MSCI,91.43599700927734
2024-05-11,MSCI,91.43599700927734
2024-05-12,MSCI,91.43599700927734
2024-05-13,MSCI,91.31400299072266
2024-05-14,MSCI,91.26000213623047
2024-05-15,MSCI,91.9260025024414
2024-05-16,MSCI,92.28800201416016
2024-05-17,MSCI,91.9739990234375
2024-05-18,MSCI,91.9739990234375
2024-05-19,MSCI,91.9739990234375
2024-05-20,MSCI,92.51200103759766
2024-05-21,MSCI,92.302001953125
2024-05-22,MSCI,92.3479995727539
2024-05-23,MSCI,92.38600158691406
2024-05-24,MSCI,92.03600311279297
2024-05-25,MSCI,92.03600311279297
2024-05-26,MSCI,92.03600311279297
2024-05-27,MSCI,92.23999786376953
2024-05-28,MSCI,91.89399719238281
2024-05-29,MSCI,91.55400085449219
2024-05-30,MSCI,91.24600219726562
2024-05-31,MSCI,90.72599792480469
